Region,Month and Year,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,Total Selected Miscellaneous Offences
Mandurah,May-09,1,1,0,0,0,64,60,4,21,20,1,62,7,55,79,24,48,7,16,14,2,36,27,9,2,0,2,9,3,6,290,312,227,85,54,579,0,0,0,0,5,574,316,23,293,15,13,2,0,1276,1566,106,17,55,28,6,0,11,7,4,18,135,80,59,0,0,59,102,35,59,8,241
Mandurah,Jun-09,0,0,0,0,0,22,21,1,2,2,0,49,18,31,79,24,51,4,9,7,2,18,11,7,2,0,2,15,2,13,196,278,219,59,50,587,0,0,0,0,4,583,361,34,327,24,4,20,0,1300,1496,119,7,71,28,12,1,9,8,1,23,151,103,30,1,0,29,32,21,8,3,165
Mandurah,Jul-09,1,0,0,0,1,13,10,3,3,3,0,48,7,41,92,26,62,4,15,11,4,24,16,8,2,0,2,2,1,1,200,238,162,76,47,488,0,0,0,0,2,486,281,32,249,7,0,7,0,1061,1261,116,6,62,35,12,1,10,7,3,15,141,131,52,2,0,50,45,26,16,3,228
Mandurah,Aug-09,0,0,0,0,0,7,4,3,7,7,0,45,10,35,126,31,89,6,5,5,0,13,8,5,2,1,1,6,1,5,211,248,173,75,63,487,0,0,0,0,1,486,278,24,254,16,3,13,0,1092,1303,94,9,45,29,11,0,17,11,6,9,120,326,46,3,0,43,43,25,13,5,415
Mandurah,Sep-09,0,0,0,0,0,9,6,3,52,35,17,48,10,38,83,29,51,3,6,5,1,19,9,10,0,0,0,12,4,8,229,205,147,58,42,499,0,0,0,0,3,496,278,25,253,12,2,10,0,1036,1265,121,9,68,30,13,1,7,6,1,23,151,275,21,1,0,20,233,219,7,7,529
Mandurah,Oct-09,4,0,0,0,4,26,16,10,16,14,2,62,14,48,93,41,47,5,10,7,3,15,10,5,0,0,0,6,0,6,232,241,176,65,56,494,0,0,0,0,0,494,309,36,273,7,0,7,0,1107,1339,127,12,59,44,11,1,15,11,4,11,153,241,29,2,0,27,45,28,8,9,315
Mandurah,Nov-09,0,0,0,0,0,12,12,0,2,2,0,48,16,32,79,21,57,1,4,3,1,23,14,9,1,0,1,7,0,7,176,226,159,67,48,447,0,0,0,0,2,445,288,30,258,5,0,5,0,1014,1190,108,7,45,37,19,0,7,5,2,22,137,73,15,0,0,15,30,20,8,2,118
Mandurah,Dec-09,0,0,0,0,0,15,11,4,4,4,0,55,22,33,87,32,53,2,3,3,0,21,17,4,0,0,0,9,3,6,194,276,199,77,46,455,0,0,0,0,2,453,296,31,265,4,1,3,0,1077,1271,81,5,42,23,10,1,4,1,3,9,94,137,10,1,0,9,80,59,16,5,227
Mandurah,Jan-10,0,0,0,0,0,21,14,7,18,18,0,65,13,52,116,41,72,3,15,13,2,18,12,6,3,0,3,11,0,11,267,264,212,52,55,605,0,0,0,0,2,603,322,31,291,12,3,9,0,1258,1525,105,4,52,34,15,0,10,3,7,15,130,75,36,1,0,35,57,29,15,13,168
Mandurah,Feb-10,0,0,0,0,0,13,8,5,30,30,0,61,16,45,78,25,52,1,6,6,0,21,15,6,1,0,1,15,0,15,225,264,203,61,68,484,0,0,0,0,5,479,256,32,224,7,1,6,0,1079,1304,82,6,38,24,13,1,6,2,4,8,96,44,61,0,0,61,64,38,14,12,169
Mandurah,Mar-10,2,0,0,0,2,33,27,6,17,17,0,48,14,34,113,41,67,5,5,3,2,19,10,9,1,0,1,17,1,16,255,316,253,63,78,560,0,0,0,0,6,554,269,24,245,12,2,10,0,1235,1490,127,11,65,38,13,0,16,11,5,14,157,95,16,1,0,15,50,32,9,9,161
Mandurah,Apr-10,0,0,0,0,0,9,9,0,23,19,4,42,9,33,97,33,60,4,3,3,0,16,8,8,0,0,0,21,1,20,211,254,188,66,41,461,0,0,0,0,3,458,256,24,232,1,0,1,0,1013,1224,113,7,56,33,16,1,17,12,5,18,148,92,57,1,0,56,85,58,18,9,234
Mandurah,May-10,0,0,0,0,0,18,9,9,2,1,1,55,13,42,71,24,45,2,11,9,2,11,7,4,2,0,2,13,2,11,183,260,203,57,58,441,0,0,0,0,2,439,237,32,205,10,1,9,0,1006,1189,114,4,64,39,7,0,9,6,3,17,140,190,12,0,0,12,44,28,12,4,246
Mandurah,Jun-10,1,1,0,0,0,17,9,8,8,8,0,49,8,41,76,15,57,4,4,2,2,23,9,14,0,0,0,10,2,8,188,327,266,61,87,481,0,0,0,0,5,476,210,17,193,2,0,2,0,1107,1295,156,11,72,53,19,1,16,13,3,15,187,126,26,0,0,26,36,23,4,9,188
Mandurah,Jul-10,0,0,0,0,0,6,6,0,3,3,0,74,16,58,85,30,53,2,15,11,4,23,9,14,3,0,3,13,1,12,222,324,260,64,58,457,0,0,0,0,0,457,251,25,226,7,1,6,0,1097,1319,83,7,39,29,6,2,14,12,2,14,111,138,27,0,0,27,71,57,11,3,236
Mandurah,Aug-10,1,0,1,0,0,48,48,0,7,5,2,77,14,63,109,41,64,4,6,5,1,18,13,5,1,0,1,20,5,15,287,289,231,58,48,506,0,0,0,0,4,502,251,20,231,6,0,6,0,1100,1387,146,15,69,47,14,1,25,20,5,17,188,146,35,0,0,35,62,43,6,13,243
Mandurah,Sep-10,0,0,0,0,0,5,4,1,12,12,0,84,13,71,59,25,32,2,7,5,2,10,5,5,2,1,1,10,0,10,189,267,212,55,51,434,0,0,0,0,3,431,209,21,188,10,1,9,0,971,1160,142,11,60,51,20,0,19,15,4,25,186,132,24,2,0,22,215,24,183,8,371
Mandurah,Oct-10,1,1,0,0,0,14,13,1,7,6,1,104,22,82,94,37,53,4,22,21,1,28,20,8,2,0,2,17,0,17,289,267,194,73,68,520,0,0,0,0,4,516,293,26,267,25,11,14,0,1173,1462,83,6,44,29,4,0,12,3,9,13,108,72,23,1,0,22,56,43,8,5,151
